,mask_FTOC,bathy
1224,,201.0
1225,,95.0
1226,,32.0
1227,,7.0
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,,
1258,,
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,
1277,,
1278,,
1279,,
1280,,
1281,,
1282,,
1283,,
1284,,
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,
1302,,
1303,,
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,,
1346,,
1347,,
1348,,
1349,,32.0
1350,,19.0
1351,,36.0
1352,,56.0
1353,,88.0
1354,,104.0
1355,,114.0
1356,,122.0
1357,,128.0
1358,,132.0
1359,,137.0
1360,,141.0
1361,,150.0
1362,,158.0
1363,,160.0
1364,,160.0
1365,,164.0
1366,,172.0
1367,,178.0
1368,,176.0
1369,,163.0
1370,,143.0
1371,,134.0
1372,,140.0
1373,,152.0
1374,,161.0
1375,,161.0
1376,,158.0
1377,,145.0
1378,,133.0
1379,,127.0
1380,,126.0
1381,,133.0
1382,,145.0
1383,,150.0
1384,,150.0
1385,,144.0
1386,,128.0
1387,,103.0
1388,,76.0
1389,,51.0
1390,,28.0
1391,,5.0
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,84.0
1468,,21.0
1469,,27.0
1470,,70.0
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,47.0
1510,,63.0
1511,,
1512,,
1513,,
1514,,
1515,,
1516,,
1517,,
1518,,
1519,,
1520,,
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,4.0
1536,,90.0
1537,,334.0
1538,,527.0
1539,,562.0
1540,,601.0
1541,,613.0
1542,,618.0
1543,,635.0
1544,,642.0
1545,,595.0
1546,,349.0
1547,,12.0
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,99.0
1562,,242.0
1563,,289.0
1564,,302.0
1565,,318.0
1566,,352.0
1567,,382.0
1568,,410.0
1569,,498.0
1570,,610.0
1571,,689.0
1572,,740.0
1573,,813.0
1574,,860.0
1575,,861.0
1576,,822.0
1577,,669.0
1578,,605.0
1579,,614.0
1580,,541.0
1581,,421.0
1582,,294.0
1583,,194.0
1584,,144.0
1585,,61.0
1586,,7.0
1587,,
1588,,
1589,,
1590,,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,,
1617,,
1618,,
1619,,
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,90.0
1628,,213.0
1629,,313.0
1630,,300.0
1631,,190.0
1632,,119.0
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,
1686,,
1687,,
1688,,
1689,,
1690,,
1691,,
1692,,
1693,,
1694,,
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,,
1707,,
1708,,
1709,,
1710,,
1711,,
1712,,
1713,,
1714,,
1715,,
1716,,3.0
1717,,19.0
1718,,43.0
1719,,62.0
1720,,66.0
1721,,61.0
1722,,49.0
1723,,39.0
1724,,33.0
1725,,25.0
1726,,18.0
1727,,19.0
1728,,26.0
1729,,44.0
1730,,49.0
1731,,38.0
1732,,25.0
1733,,17.0
1734,,7.0
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,
1762,,
1763,,
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,,
1777,,
1778,,
1779,,
1780,,
1781,,
1782,,
1783,,
1784,,
1785,,
1786,,
1787,,
1788,,
1789,,
1790,,
1791,,
1792,,
1793,,
1794,,
1795,,
1796,,
1797,,
1798,,
1799,,
1800,,
1801,,
1802,,
1803,,
1804,,
1805,,
1806,,51.0
1807,,206.0
1808,,310.0
1809,,389.0
1810,,421.0
1811,,574.0
1812,,692.0
1813,,680.0
1814,,700.0
1815,,703.0
1816,,715.0
1817,,688.0
1818,,678.0
1819,,681.0
1820,,682.0
1821,,678.0
1822,,668.0
1823,,661.0
1824,,662.0
1825,,673.0
1826,,687.0
1827,,700.0
1828,,712.0
1829,,726.0
1830,,717.0
1831,,704.0
1832,,711.0
1833,,675.0
1834,,610.0
1835,,602.0
1836,,595.0
1837,,544.0
1838,,497.0
1839,,486.0
1840,,496.0
1841,,531.0
1842,,554.0
1843,,580.0
1844,,641.0
1845,,745.0
1846,,863.0
1847,,907.0
1848,,912.0
1849,,1000.0
1850,,880.0
1851,,787.0
1852,,850.0
1853,,890.0
1854,,977.0
1855,,1024.0
1856,,999.0
1857,,1043.0
1858,,1080.0
1859,,923.0
1860,,760.0
1861,,525.0
1862,,353.0
1863,,57.0
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,407.0
1879,,535.0
1880,,394.0
1881,,59.0
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,193.0
1898,,365.0
1899,,467.0
1900,,722.0
1901,,952.0
1902,,862.0
1903,,579.0
1904,,466.0
1905,,308.0
1906,,139.0
1907,,82.0
1908,,189.0
1909,,287.0
1910,,206.0
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,251.0
1919,,808.0
1920,,897.0
1921,,796.0
1922,,544.0
