,mask_FTOC,bathy
180,,90.6693649291992
181,,85.9293670654297
182,,89.2993621826172
183,,94.3026275634766
184,,95.8326263427734
185,,97.7526245117188
186,,99.9026260375977
187,,96.7226257324219
188,,97.0303115844727
189,,89.3803100585938
190,,82.2303085327148
191,,79.2303085327148
192,,75.0995330810547
193,,61.6295318603516
194,,63.4795341491699
195,,70.4495315551758
196,,69.3532485961914
197,,67.3832473754883
198,,67.3032455444336
199,,63.8232498168945
200,,63.0232467651367
201,,71.3864212036133
202,,89.4164276123047
203,,100.126426696777
204,,119.796424865723
205,,119.934616088867
206,,107.89461517334
207,,103.39461517334
208,,104.124610900879
209,,112.512565612793
210,,125.212562561035
211,,137.102569580078
212,,150.442565917969
213,,161.237091064453
214,,165.987091064453
215,,165.827087402344
216,,165.42707824707
217,,164.227081298828
218,,166.57373046875
219,,175.163726806641
220,,184.513717651367
221,,188.613723754883
222,,187.10481262207
223,,183.724822998047
224,,180.314819335938
225,,168.154815673828
226,,142.065353393555
227,,113.595352172852
228,,97.4553527832031
229,,97.3053512573242
230,,138.155792236328
231,,189.375793457031
232,,203.095794677734
233,,203.375793457031
234,,193.76579284668
235,,183.708877563477
236,,174.698883056641
237,,167.818878173828
238,,160.878890991211
239,,153.569091796875
240,,149.019088745117
241,,140.889083862305
242,,132.499084472656
243,,124.200500488281
244,,116.490501403809
245,,109.170501708984
246,,102.140502929688
247,,95.3930282592773
248,,92.0930252075195
249,,85.7130279541016
250,,79.6230316162109
251,,73.7730255126953
252,,68.0865325927734
253,,62.6065330505371
254,,57.2765312194824
255,,52.1765327453613
256,,49.5793914794922
257,,44.3793907165527
258,,39.0593910217285
259,,33.7293930053711
260,,27.2147884368896
261,,17.1847877502441
262,,2.42478847503662
263,,
264,,
265,,
266,,1.42878997325897
267,,14.8687896728516
268,,22.7987899780273
269,,20.0476741790771
270,,5.28767395019531
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,9.91082191467285
284,,16.7408218383789
285,,23.0108222961426
286,,30.704216003418
287,,31.4642162322998
288,,29.2242164611816
289,,22.534215927124
290,,14.8696212768555
291,,7.75962162017822
292,,2.01962161064148
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,2.08723258972168
435,,31.0872325897217
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,4.89216184616089
475,,42.6851081848145
476,,74.2851104736328
477,,106.715110778809
478,,141.40510559082
479,,178.326202392578
480,,189.896209716797
481,,192.016204833984
482,,191.076202392578
483,,186.546203613281
484,,181.908645629883
485,,183.118637084961
486,,201.968643188477
487,,221.868637084961
488,,225.991073608398
489,,221.371078491211
490,,229.961074829102
491,,248.971069335938
492,,263.525115966797
493,,283.155090332031
494,,307.285095214844
495,,294.525115966797
496,,259.445098876953
497,,221.833969116211
498,,289.823974609375
499,,414.043975830078
500,,538.613952636719
501,,660.806030273438
502,,737.106079101562
503,,715.806030273438
504,,687.566040039062
505,,632.724426269531
506,,578.594421386719
507,,524.764404296875
508,,471.174438476562
509,,422.557159423828
510,,411.237152099609
511,,435.427154541016
512,,450.177154541016
513,,479.887176513672
514,,509.907623291016
515,,540.78759765625
516,,573.607604980469
517,,585.727600097656
518,,550.802429199219
519,,511.142425537109
520,,492.982421875
521,,465.25244140625
522,,434.694305419922
523,,399.084320068359
524,,362.794311523438
525,,353.92431640625
526,,379.872314453125
527,,407.472290039062
528,,421.6123046875
529,,440.902313232422
530,,463.252288818359
531,,482.095947265625
532,,499.10595703125
533,,535.735961914062
534,,590.135925292969
535,,595.153198242188
536,,585.643188476562
537,,561.683166503906
538,,554.2431640625
539,,570.897766113281
540,,602.807800292969
541,,644.747802734375
