V1,V2,V3
-180,90,-4238.033203125
-178.99721448468,90,-4222.06298828125
-177.994428969359,90,-4199.7431640625
-176.991643454039,90,-4190.123046875
-175.988857938719,90,-4165.7216796875
-174.986072423398,90,-4163.1318359375
-173.983286908078,90,-4148.091796875
-172.980501392758,90,-4147.65185546875
-171.977715877437,90,-4156.5517578125
-170.974930362117,90,-4168.48193359375
-169.972144846797,90,-4180.5517578125
-168.969359331476,90,-4185.94189453125
-167.966573816156,90,-4179.662109375
-166.963788300836,90,-4176.00390625
-165.961002785515,90,-4177.6640625
-164.958217270195,90,-4179.6337890625
-163.955431754875,90,-4180.95361328125
-162.952646239554,90,-4182.595703125
-161.949860724234,90,-4183.94580078125
-160.947075208914,90,-4183.53564453125
-159.944289693593,90,-4181.9658203125
-158.941504178273,90,-4181.09765625
-157.938718662953,90,-4180.70751953125
-156.935933147632,90,-4181.3974609375
-155.933147632312,90,-4182.3974609375
-154.930362116992,90,-4185.7275390625
-153.927576601671,90,-4190.16796875
-152.924791086351,90,-4193.73779296875
-151.922005571031,90,-4196.77783203125
-150.91922005571,90,-4199.68798828125
-149.91643454039,90,-4200.87451171875
-148.91364902507,90,-4199.46435546875
-147.910863509749,90,-4198.25439453125
-146.908077994429,90,-4192.74462890625
-145.905292479109,90,-4181.9072265625
-144.902506963788,90,-4165.857421875
-143.899721448468,90,-4144.80712890625
-142.896935933148,90,-4125.13720703125
-141.894150417827,90,-4115.0546875
-140.891364902507,90,-4106.23486328125
-139.888579387187,90,-4102.14453125
-138.885793871866,90,-4096.94482421875
-137.883008356546,90,-4102.33447265625
-136.880222841226,90,-4118.3779296875
-135.877437325905,90,-4130.52783203125
-134.874651810585,90,-4124.10791015625
-133.871866295265,90,-4107.3779296875
-132.869080779944,90,-4084.97192382812
-131.866295264624,90,-4075.59204101562
-130.863509749304,90,-4062.57202148438
-129.860724233983,90,-4059.77197265625
-128.857938718663,90,-4063.93041992188
-127.855153203343,90,-4069.28051757812
-126.852367688022,90,-4078.9404296875
-125.849582172702,90,-4077.73046875
-124.846796657382,90,-4089.88500976562
-123.844011142061,90,-4100.44482421875
-122.841225626741,90,-4112.9248046875
-121.838440111421,90,-4130.3349609375
-120.8356545961,90,-4148.9150390625
-119.83286908078,90,-4152.9345703125
-118.83008356546,90,-4147.1748046875
-117.827298050139,90,-4152.234375
-116.824512534819,90,-4141.20458984375
-115.821727019499,90,-4129.662109375
-114.818941504178,90,-4108.08203125
-113.816155988858,90,-4089.02221679688
-112.813370473538,90,-4085.06201171875
-111.810584958217,90,-4098.77294921875
-110.807799442897,90,-4118.40283203125
-109.805013927577,90,-4127.1728515625
-108.802228412256,90,-4127.31298828125
-107.799442896936,90,-4123.8828125
-106.796657381616,90,-4111.86767578125
-105.793871866295,90,-4096.36767578125
-104.791086350975,90,-4076.2275390625
-103.788300835655,90,-4056.06762695312
-102.785515320334,90,-4038.83251953125
-101.782729805014,90,-4028.8125
-100.779944289694,90,-4027.54248046875
-99.7771587743733,90,-4028.34252929688
-98.7743732590529,90,-4031.22265625
-97.7715877437326,90,-4036.13256835938
-96.7688022284123,90,-4042.95263671875
-95.7660167130919,90,-4051.16259765625
-94.7632311977716,90,-4058.837890625
-93.7604456824513,90,-4070.3876953125
-92.7576601671309,90,-4090.89770507812
-91.7548746518106,90,-4101.77783203125
-90.7520891364903,90,-4117.23779296875
-89.7493036211699,90,-4125.63134765625
-88.7465181058496,90,-4131.06103515625
-87.7437325905292,90,-4134.22119140625
-86.7409470752089,90,-4139.47119140625
-85.7381615598886,90,-4146.77734375
-84.7353760445683,90,-4154.71728515625
-83.7325905292479,90,-4158.7275390625
-82.7298050139276,90,-4164.947265625
-81.7270194986072,90,-4167.9375
-80.7242339832869,90,-4167.2177734375
-79.7214484679666,90,-4163.74755859375
-78.7186629526462,90,-4161.84765625
-77.7158774373259,90,-4162.4375
-76.7130919220056,90,-4162.337890625
-75.7103064066852,90,-4162.94775390625
-74.7075208913649,90,-4167.74755859375
-73.7047353760446,90,-4175.59765625
-72.7019498607242,90,-4180.5595703125
-71.6991643454039,90,-4180.939453125
-70.6963788300836,90,-4178.599609375
-69.6935933147632,90,-4176.1796875
-68.6908077994429,90,-4173.28564453125
-67.6880222841226,90,-4171.685546875
-66.6852367688022,90,-4169.92529296875
-65.6824512534819,90,-4171.3154296875
-64.6796657381616,90,-4176.61279296875
-63.6768802228412,90,-4183.86279296875
-62.6740947075209,90,-4186.04296875
-61.6713091922006,90,-4189.5830078125
-60.6685236768802,90,-4191.41259765625
-59.6657381615599,90,-4191.11279296875
-58.6629526462396,90,-4190.25244140625
-57.6601671309192,90,-4190.8427734375
-56.6573816155989,90,-4189.40283203125
-55.6545961002786,90,-4188.150390625
-54.6518105849582,90,-4187.1005859375
-53.6490250696379,90,-4183.58056640625
-52.6462395543176,90,-4180.21044921875
-51.6434540389972,90,-4179.24951171875
-50.6406685236769,90,-4177.9697265625
-49.6378830083565,90,-4176.2294921875
-48.6350974930362,90,-4176.00927734375
-47.6323119777159,90,-4176.46923828125
-46.6295264623955,90,-4177.94921875
-45.6267409470752,90,-4179.75927734375
-44.6239554317549,90,-4181.87939453125
-43.6211699164346,90,-4182.69921875
-42.6183844011142,90,-4183.1552734375
-41.6155988857939,90,-4183.525390625
-40.6128133704735,90,-4183.13525390625
-39.6100278551532,90,-4183.28515625
-38.6072423398329,90,-4183.76513671875
-37.6044568245125,90,-4184.72509765625
-36.6016713091922,90,-4187.09521484375
-35.5988857938719,90,-4188.10498046875
-34.5961002785515,90,-4190.8720703125
-33.5933147632312,90,-4194.322265625
-32.5905292479109,90,-4196.7724609375
-31.5877437325905,90,-4197.072265625
-30.5849582172702,90,-4197.28271484375
-29.5821727019499,90,-4199.052734375
-28.5793871866295,90,-4202.22265625
-27.5766016713092,90,-4204.052734375
-26.5738161559889,90,-4205.212890625
-25.5710306406685,90,-4205.9072265625
-24.5682451253482,90,-4205.50732421875
-23.5654596100279,90,-4207.46728515625
-22.5626740947075,90,-4210.16748046875
-21.5598885793872,90,-4214.47802734375
-20.5571030640669,90,-4217.93798828125
-19.5543175487465,90,-4217.9580078125
-18.5515320334262,90,-4216.06787109375
-17.5487465181058,90,-4213.45751953125
-16.5459610027855,90,-4211.4873046875
-15.5431754874652,90,-4208.59765625
-14.5403899721449,90,-4207.5673828125
-13.5376044568245,90,-4208.3798828125
-12.5348189415042,90,-4209.93994140625
-11.5320334261839,90,-4210.89013671875
-10.5292479108635,90,-4211.9501953125
-9.52646239554318,90,-4213.1103515625
