"mask_FTOC","bathy"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,16.034761428833
NA,69.7247619628906
NA,61.9045906066895
NA,69.9145889282227
NA,91.7945861816406
NA,101.484588623047
NA,102.95458984375
NA,110.371086120605
NA,143.801086425781
NA,159.571090698242
NA,160.021087646484
NA,157.559112548828
NA,152.75910949707
NA,158.559112548828
NA,160.099105834961
NA,141.413818359375
NA,119.433822631836
NA,127.293823242188
NA,146.103820800781
NA,161.58039855957
NA,176.550384521484
NA,190.810394287109
NA,193.140396118164
NA,195.510391235352
NA,220.430114746094
NA,190.880111694336
NA,144.160110473633
NA,136.780120849609
NA,134.846893310547
NA,132.326904296875
NA,131.116897583008
NA,129.766906738281
NA,116.701858520508
NA,103.491859436035
NA,107.241859436035
NA,107.941856384277
NA,105.67724609375
NA,111.267250061035
NA,116.167251586914
NA,125.507247924805
NA,124.147247314453
NA,110.209381103516
NA,97.4593811035156
NA,78.1493759155273
NA,68.7793807983398
NA,78.1702499389648
NA,80.3402557373047
NA,80.5002517700195
NA,86.2502517700195
NA,95.5830078125
NA,96.5630035400391
NA,89.0130081176758
NA,85.213005065918
NA,93.3438873291016
NA,92.98388671875
NA,89.853889465332
NA,107.103889465332
NA,130.673889160156
NA,152.572250366211
NA,173.242248535156
NA,194.722244262695
NA,207.682250976562
NA,209.366729736328
NA,224.966735839844
NA,247.876724243164
NA,258.766723632812
NA,262.228942871094
NA,276.39892578125
NA,320.488922119141
NA,339.308929443359
NA,331.318939208984
NA,290.758728027344
NA,235.478729248047
NA,228.62873840332
NA,251.988739013672
NA,269.674835205078
NA,273.19482421875
NA,258.074829101562
NA,240.804824829102
NA,206.562866210938
NA,193.60285949707
NA,192.082870483398
NA,196.522872924805
NA,185.190383911133
NA,176.380386352539
NA,177.590377807617
NA,172.190383911133
NA,156.370376586914
NA,137.799926757812
NA,129.409927368164
NA,133.879928588867
NA,135.949935913086
NA,133.137390136719
NA,114.467391967773
NA,102.097396850586
NA,90.2773971557617
NA,91.1760406494141
NA,96.8160400390625
NA,115.676040649414
NA,118.076042175293
NA,96.0284271240234
NA,89.6084289550781
NA,90.1484298706055
NA,91.5584259033203
NA,96.4684295654297
NA,112.21395111084
NA,132.923950195312
NA,137.263946533203
NA,137.873947143555
NA,127.008796691895
NA,122.128791809082
NA,116.478790283203
NA,113.67879486084
NA,107.459365844727
NA,90.6693649291992
NA,85.9293670654297
NA,89.2993621826172
NA,94.3026275634766
NA,95.8326263427734
NA,97.7526245117188
NA,99.9026260375977
NA,96.7226257324219
NA,97.0303115844727
NA,89.3803100585938
NA,82.2303085327148
NA,79.2303085327148
NA,75.0995330810547
NA,61.6295318603516
NA,63.4795341491699
NA,70.4495315551758
NA,69.3532485961914
NA,67.3832473754883
NA,67.3032455444336
NA,63.8232498168945
NA,63.0232467651367
NA,71.3864212036133
NA,89.4164276123047
NA,100.126426696777
NA,119.796424865723
NA,119.934616088867
NA,107.89461517334
NA,103.39461517334
NA,104.124610900879
NA,112.512565612793
NA,125.212562561035
NA,137.102569580078
NA,150.442565917969
NA,161.237091064453
NA,165.987091064453
NA,165.827087402344
NA,165.42707824707
NA,164.227081298828
NA,166.57373046875
NA,175.163726806641
NA,184.513717651367
NA,188.613723754883
NA,187.10481262207
NA,183.724822998047
NA,180.314819335938
NA,168.154815673828
NA,142.065353393555
NA,113.595352172852
NA,97.4553527832031
NA,97.3053512573242
NA,138.155792236328
NA,189.375793457031
NA,203.095794677734
NA,203.375793457031
NA,193.76579284668
NA,183.708877563477
NA,174.698883056641
NA,167.818878173828
NA,160.878890991211
NA,153.569091796875
NA,149.019088745117
NA,140.889083862305
NA,132.499084472656
NA,124.200500488281
NA,116.490501403809
NA,109.170501708984
NA,102.140502929688
NA,95.3930282592773
NA,92.0930252075195
NA,85.7130279541016
NA,79.6230316162109
NA,73.7730255126953
NA,68.0865325927734
NA,62.6065330505371
NA,57.2765312194824
NA,52.1765327453613
NA,49.5793914794922
NA,44.3793907165527
NA,39.0593910217285
NA,33.7293930053711
NA,27.2147884368896
NA,17.1847877502441
NA,2.42478847503662
NA,NA
NA,NA
NA,NA
NA,1.42878997325897
NA,14.8687896728516
NA,22.7987899780273
NA,20.0476741790771
NA,5.28767395019531
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,9.91082191467285
NA,16.7408218383789
NA,23.0108222961426
NA,30.704216003418
NA,31.4642162322998
NA,29.2242164611816
NA,22.534215927124
NA,14.8696212768555
NA,7.75962162017822
NA,2.01962161064148
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
