V1,V2,V3
-14.5403899721449,90,-4158
-13.5376044568245,90,-4158
-12.5348189415042,90,-4158
-11.5320334261839,90,-4158
-10.5292479108635,90,-4158
-9.52646239554318,90,-4158
-8.52367688022284,90,-4158
-7.52089136490252,90,-4158
-6.51810584958218,90,-4159
-5.51532033426184,90,-4159
-4.5125348189415,90,-4160
-3.50974930362116,90,-4160
-2.50696378830085,90,-4160
-1.50417827298051,90,-4161
-0.50139275766017,90,-4162
0.50139275766017,90,-4162
1.50417827298048,90,-4163
2.50696378830082,90,-4163
3.50974930362116,90,-4164
4.5125348189415,90,-4164
5.51532033426184,90,-4164
6.51810584958216,90,-4165
7.5208913649025,90,-4165
8.52367688022284,90,-4166
9.52646239554318,90,-4166
10.5292479108635,90,-4167
11.5320334261838,90,-4168
12.5348189415042,90,-4168
13.5376044568245,90,-4169
14.5403899721449,90,-4170
15.5431754874652,90,-4172
16.5459610027855,90,-4173
17.5487465181058,90,-4175
18.5515320334262,90,-4176
19.5543175487465,90,-4178
20.5571030640668,90,-4179
21.5598885793872,90,-4182
22.5626740947075,90,-4184
23.5654596100279,90,-4186
24.5682451253482,90,-4189
25.5710306406685,90,-4190
26.5738161559889,90,-4191
27.5766016713092,90,-4193
28.5793871866295,90,-4195
29.5821727019498,90,-4198
30.5849582172702,90,-4201
31.5877437325905,90,-4203
32.5905292479109,90,-4206
33.5933147632312,90,-4208
34.5961002785515,90,-4208
35.5988857938719,90,-4208
36.6016713091922,90,-4209
37.6044568245125,90,-4209
38.6072423398329,90,-4208
39.6100278551532,90,-4208
40.6128133704735,90,-4207
41.6155988857939,90,-4207
42.6183844011142,90,-4206
43.6211699164345,90,-4206
44.6239554317549,90,-4206
45.6267409470752,90,-4206
46.6295264623955,90,-4207
47.6323119777159,90,-4208
48.6350974930362,90,-4210
49.6378830083565,90,-4212
50.6406685236769,90,-4214
51.6434540389972,90,-4216
52.6462395543175,90,-4216
53.6490250696379,90,-4217
54.6518105849582,90,-4218
55.6545961002786,90,-4218
56.6573816155989,90,-4219
57.6601671309192,90,-4219
58.6629526462395,90,-4220
59.6657381615599,90,-4220
60.6685236768802,90,-4220
61.6713091922005,90,-4220
62.6740947075209,90,-4221
63.6768802228412,90,-4221
64.6796657381616,90,-4221
65.6824512534819,90,-4222
66.6852367688022,90,-4222
67.6880222841226,90,-4222
68.6908077994429,90,-4223
69.6935933147632,90,-4222
70.6963788300835,90,-4223
71.6991643454039,90,-4223
72.7019498607242,90,-4224
73.7047353760446,90,-4225
74.7075208913649,90,-4225
75.7103064066852,90,-4225
76.7130919220056,90,-4225
77.7158774373259,90,-4224
78.7186629526462,90,-4224
79.7214484679666,90,-4224
80.7242339832869,90,-4224
81.7270194986072,90,-4224
82.7298050139275,90,-4224
83.7325905292479,90,-4224
84.7353760445682,90,-4224
85.7381615598886,90,-4223
86.7409470752089,90,-4222
87.7437325905292,90,-4222
88.7465181058496,90,-4222
89.7493036211699,90,-4221
90.7520891364902,90,-4220
91.7548746518106,90,-4219
92.7576601671309,90,-4219
93.7604456824512,90,-4218
94.7632311977716,90,-4218
95.7660167130919,90,-4217
96.7688022284123,90,-4217
97.7715877437326,90,-4216
98.7743732590529,90,-4215
99.7771587743732,90,-4215
100.779944289694,90,-4214
101.782729805014,90,-4213
102.785515320334,90,-4212
103.788300835655,90,-4212
104.791086350975,90,-4211
105.793871866295,90,-4210
106.796657381616,90,-4210
107.799442896936,90,-4210
108.802228412256,90,-4209
109.805013927577,90,-4209
110.807799442897,90,-4208
111.810584958217,90,-4206
112.813370473538,90,-4204
113.816155988858,90,-4202
114.818941504178,90,-4202
115.821727019499,90,-4201
116.824512534819,90,-4200
117.827298050139,90,-4199
118.83008356546,90,-4199
119.83286908078,90,-4198
120.8356545961,90,-4197
121.838440111421,90,-4196
122.841225626741,90,-4196
123.844011142061,90,-4195
124.846796657382,90,-4194
125.849582172702,90,-4194
126.852367688022,90,-4193
127.855153203343,90,-4193
128.857938718663,90,-4192
129.860724233983,90,-4192
130.863509749304,90,-4193
131.866295264624,90,-4193
132.869080779944,90,-4194
133.871866295265,90,-4194
134.874651810585,90,-4196
135.877437325905,90,-4197
136.880222841226,90,-4198
137.883008356546,90,-4200
138.885793871866,90,-4202
139.888579387187,90,-4205
140.891364902507,90,-4205
141.894150417827,90,-4206
142.896935933148,90,-4207
143.899721448468,90,-4208
144.902506963788,90,-4208
145.905292479109,90,-4207
146.908077994429,90,-4207
147.910863509749,90,-4207
148.91364902507,90,-4207
149.91643454039,90,-4208
150.91922005571,90,-4210
151.922005571031,90,-4213
152.924791086351,90,-4217
153.927576601671,90,-4223
154.930362116992,90,-4231
155.933147632312,90,-4232
156.935933147632,90,-4232
157.938718662953,90,-4233
158.941504178273,90,-4235
159.944289693593,90,-4237
160.947075208914,90,-4238
161.949860724234,90,-4237
162.952646239554,90,-4236
163.955431754875,90,-4235
164.958217270195,90,-4234
165.961002785515,90,-4234
166.963788300836,90,-4233
167.966573816156,90,-4232
168.969359331476,90,-4230
169.972144846797,90,-4230
170.974930362117,90,-4228
171.977715877437,90,-4227
172.980501392758,90,-4226
173.983286908078,90,-4225
174.986072423398,90,-4226
175.988857938719,90,-4226
176.991643454039,90,-4226
177.994428969359,90,-4226
178.99721448468,90,-4224
180,90,-4220
-180,88.9944134078212,-2560
-178.99721448468,88.9944134078212,-2541
-177.994428969359,88.9944134078212,-2593
-176.991643454039,88.9944134078212,-2683
-175.988857938719,88.9944134078212,-2794
-174.986072423398,88.9944134078212,-2900
-173.983286908078,88.9944134078212,-3007
-172.980501392758,88.9944134078212,-3081
-171.977715877437,88.9944134078212,-3117
-170.974930362117,88.9944134078212,-3258
-169.972144846797,88.9944134078212,-3334
-168.969359331476,88.9944134078212,-3353
-167.966573816156,88.9944134078212,-3388
-166.963788300836,88.9944134078212,-3457
-165.961002785515,88.9944134078212,-3531
-164.958217270195,88.9944134078212,-3564
-163.955431754875,88.9944134078212,-3571
-162.952646239554,88.9944134078212,-3590
-161.949860724234,88.9944134078212,-3651
-160.947075208914,88.9944134078212,-3674
-159.944289693593,88.9944134078212,-3662
-158.941504178273,88.9944134078212,-3694
-157.938718662953,88.9944134078212,-3751
-156.935933147632,88.9944134078212,-3768
-155.933147632312,88.9944134078212,-3764
-154.930362116992,88.9944134078212,-3765
-153.927576601671,88.9944134078212,-3788
-152.924791086351,88.9944134078212,-3796
-151.922005571031,88.9944134078212,-3771
-150.91922005571,88.9944134078212,-3755
-149.91643454039,88.9944134078212,-3741
-148.91364902507,88.9944134078212,-3712
-147.910863509749,88.9944134078212,-3704
-146.908077994429,88.9944134078212,-3701
-145.905292479109,88.9944134078212,-3722
-144.902506963788,88.9944134078212,-3725
